PhotoNum,Altitude,FlightNum,FlightNam,UTCTime,XSpeed,Latitude,YSpeed,Longitude,ZSpeed,File,DateTime,class_manu,tiro_id,tiro_val,score,azi_inst,azi_med,del_azi,del_tmp,del_dst,vel_inst
253,501.911000000000001,"004",imp07,2026-03-19T12:44:42.051126,2.200000000000000,-18.370170699999999,9.699999999999999,-53.984589059999998,0.100000000000000,DJI_20260319094422_0253_D.JPG,2026-03-19T09:44:22-03:00,,34,1,0,77.59546038,77.64636082,0.05090044,3.08649993,30.88101685,10.00518955
254,501.483000000000004,"004",imp07,2026-03-19T12:44:45.288407,2.100000000000000,-18.370105980000002,9.800000000000001,-53.984290540000003,0.100000000000000,DJI_20260319094426_0254_D.JPG,2026-03-19T09:44:26-03:00,,34,1,0,77.76742225,77.60742848,0.15999377,3.23728108,32.35121442,9.99332884
255,501.084000000000003,"004",imp07,2026-03-19T12:44:48.494470,2.200000000000000,-18.370041329999999,9.600000000000000,-53.983996840000003,0.100000000000000,DJI_20260319094429_0255_D.JPG,2026-03-19T09:44:29-03:00,,34,1,0,77.58588289,77.63080548,0.04492259,3.20606279,31.85294227,9.93522096
256,500.646999999999991,"004",imp07,2026-03-19T12:44:51.705383,2.200000000000000,-18.369976160000000,9.699999999999999,-53.983700540000001,0.100000000000000,DJI_20260319094432_0256_D.JPG,2026-03-19T09:44:32-03:00,,34,1,0,77.59553261,77.62889345,0.03336085,3.21091318,32.13363367,10.00763081
257,500.240000000000009,"004",imp07,2026-03-19T12:44:54.913301,2.200000000000000,-18.369912220000000,9.699999999999999,-53.983404309999997,0.100000000000000,DJI_20260319094435_0257_D.JPG,2026-03-19T09:44:35-03:00,,34,1,0,77.81980849,77.63257538,0.18723311,3.20791793,32.09614243,10.00528790
258,499.884999999999991,"004",imp07,2026-03-19T12:44:58.116704,2.200000000000000,-18.369848709999999,9.699999999999999,-53.983108369999997,0.100000000000000,DJI_20260319094438_0258_D.JPG,2026-03-19T09:44:38-03:00,,34,1,0,77.88779118,77.65377264,0.23401854,3.20340300,32.05579020,10.00679285
259,499.514999999999986,"004",imp07,2026-03-19T12:45:01.330721,2.200000000000000,-18.369781620000001,9.800000000000001,-53.982811699999999,0.100000000000000,DJI_20260319094442_0259_D.JPG,2026-03-19T09:44:42-03:00,,34,1,0,77.25726964,77.67943533,0.42216568,3.21401691,32.22008735,10.02486552
260,499.076000000000022,"004",imp07,2026-03-19T12:45:04.536155,2.200000000000000,-18.369717510000001,9.699999999999999,-53.982515380000002,0.100000000000000,DJI_20260319094445_0260_D.JPG,2026-03-19T09:44:45-03:00,,34,1,0,77.79199283,77.64819691,0.14379591,3.20543408,32.10960703,10.01724141
261,498.663999999999987,"004",imp07,2026-03-19T12:45:07.783872,2.200000000000000,-18.369651520000001,9.699999999999999,-53.982215789999998,0.100000000000000,DJI_20260319094448_0261_D.JPG,2026-03-19T09:44:48-03:00,,34,1,0,77.57795235,77.65917649,0.08122413,3.24771690,32.49288691,10.00483967
262,498.271000000000015,"004",imp07,2026-03-19T12:45:10.977743,2.100000000000000,-18.369586479999999,9.800000000000001,-53.981921659999998,0.100000000000000,DJI_20260319094451_0262_D.JPG,2026-03-19T09:44:51-03:00,,34,1,0,77.53102043,77.65835922,0.12733879,3.19387102,31.90701654,9.99007672
263,497.882999999999981,"004",imp07,2026-03-19T12:45:14.089405,2.200000000000000,-18.369524460000001,9.699999999999999,-53.981634690000000,0.000000000000000,DJI_20260319094454_0263_D.JPG,2026-03-19T09:44:54-03:00,,34,1,0,77.80478963,77.64101347,0.16377617,3.11166215,31.09482211,9.99299430
264,497.519000000000005,"004",imp07,2026-03-19T12:45:17.278806,2.200000000000000,-18.369459469999999,9.699999999999999,-53.981339779999999,0.100000000000000,DJI_20260319094458_0264_D.JPG,2026-03-19T09:44:58-03:00,,34,1,0,77.57223568,77.66194648,0.08971079,3.18940091,31.98610565,10.02887581
265,497.139000000000010,"004",imp07,2026-03-19T12:45:20.480586,2.200000000000000,-18.369394170000000,9.699999999999999,-53.981044890000000,0.100000000000000,DJI_20260319094501_0265_D.JPG,2026-03-19T09:45:01-03:00,,34,1,0,77.51399010,77.64242773,0.12843764,3.20178008,31.99179202,9.99187677
266,496.733999999999980,"004",imp07,2026-03-19T12:45:23.722599,2.200000000000000,-18.369328379999999,9.699999999999999,-53.980746089999997,0.100000000000000,DJI_20260319094504_0266_D.JPG,2026-03-19T09:45:04-03:00,,34,1,0,77.58270522,77.63523843,0.05253321,3.24201298,32.40661596,9.99583166
267,496.327999999999975,"004",imp07,2026-03-19T12:45:26.921237,2.200000000000000,-18.369263749999998,9.600000000000000,-53.980451160000001,0.100000000000000,DJI_20260319094507_0267_D.JPG,2026-03-19T09:45:07-03:00,,34,1,0,77.63976753,77.63395568,0.00581184,3.19863796,31.97926242,9.99777493
268,495.958000000000027,"004",imp07,2026-03-19T12:45:30.059148,2.200000000000000,-18.369200459999998,9.699999999999999,-53.980161709999997,0.100000000000000,DJI_20260319094510_0268_D.JPG,2026-03-19T09:45:10-03:00,,34,1,0,77.66604875,77.61595154,0.05009721,3.13791108,31.38163575,10.00080466
269,495.572999999999979,"004",imp07,2026-03-19T12:45:33.287165,2.200000000000000,-18.369135830000001,9.699999999999999,-53.979863600000002,0.000000000000000,DJI_20260319094514_0269_D.JPG,2026-03-19T09:45:14-03:00,,34,1,0,77.76762616,77.59377732,0.17384884,3.22801685,32.30692622,10.00828920
270,495.173999999999978,"004",imp07,2026-03-19T12:45:36.477473,2.200000000000000,-18.369071309999999,9.699999999999999,-53.979569769999998,0.100000000000000,DJI_20260319094517_0270_D.JPG,2026-03-19T09:45:17-03:00,,34,1,0,77.61538636,77.64481284,0.02942648,3.19030809,31.86327081,9.98752154
271,494.774000000000001,"004",imp07,2026-03-19T12:45:39.689001,2.200000000000000,-18.369007090000000,9.699999999999999,-53.979274189999998,0.100000000000000,DJI_20260319094520_0271_D.JPG,2026-03-19T09:45:20-03:00,,34,1,0,77.74198642,77.62715219,0.11483423,3.21152806,32.03616433,9.97536490
272,494.369000000000028,"004",imp07,2026-03-19T12:45:42.876954,2.200000000000000,-18.368942570000002,9.699999999999999,-53.978980380000003,0.100000000000000,DJI_20260319094523_0272_D.JPG,2026-03-19T09:45:23-03:00,,34,1,0,77.61456934,77.64355561,0.02898627,3.18795300,31.86123335,9.99426071
273,493.968999999999994,"004",imp07,2026-03-19T12:45:46.120957,2.200000000000000,-18.368876459999999,9.699999999999999,-53.978681199999997,0.100000000000000,DJI_20260319094526_0273_D.JPG,2026-03-19T09:45:26-03:00,,34,1,0,77.53954543,77.65191051,0.11236508,3.24400282,32.45379718,10.00424445
274,493.581999999999994,"004",imp07,2026-03-19T12:45:49.333984,2.200000000000000,-18.368811340000001,9.699999999999999,-53.978384519999999,0.100000000000000,DJI_20260319094530_0274_D.JPG,2026-03-19T09:45:30-03:00,,34,1,0,77.62014183,77.62538609,0.00524426,3.21302700,32.17173365,10.01290485
275,493.225000000000023,"004",imp07,2026-03-19T12:45:52.431022,2.200000000000000,-18.368747729999999,9.699999999999999,-53.978098180000003,0.000000000000000,DJI_20260319094533_0275_D.JPG,2026-03-19T09:45:33-03:00,,34,1,0,77.47521783,77.63017671,0.15495887,3.09703803,31.06942770,10.03198133
276,492.932000000000016,"004",imp07,2026-03-19T12:45:55.732782,1.800000000000000,-18.368682589999999,8.400000000000000,-53.977801120000002,0.000000000000000,DJI_20260319094536_0276_D.JPG,2026-03-19T09:45:36-03:00,,34,1,0,77.63181018,77.62629949,0.00551069,3.30175996,32.21139154,9.75582476
277,492.704999999999984,"004",imp07,2026-03-19T12:45:57.760986,0.200000000000000,-18.368666500000000,1.500000000000000,-53.977715920000001,0.100000000000000,DJI_20260319094538_0277_D.JPG,2026-03-19T09:45:38-03:00,,34,1,0,79.30565368,77.63120999,1.67444369,2.02820420,9.17860035,4.52548138
278,492.627999999999986,"004",imp07,2026-03-19T12:45:58.440896,0.000000000000000,-18.368666420000000,0.500000000000000,-53.977712830000002,0.000000000000000,DJI_20260319094539_0278_D.JPG,2026-03-19T09:45:39-03:00,,34,1,0,88.51694543,77.79778158,10.71916385,0.67990994,0.32667966,0.48047490
279,492.372999999999990,"004",imp07,2026-03-19T12:46:05.004793,1.800000000000000,-18.368594020000000,8.199999999999999,-53.977394529999998,0.100000000000000,DJI_20260319094545_0279_D.JPG,2026-03-19T09:45:45-03:00,,34,1,0,77.18562008,78.87842930,1.69280922,6.56389689,34.58015987,5.26823630
280,492.110999999999990,"004",imp07,2026-03-19T12:46:08.391237,2.200000000000000,-18.368529559999999,10.100000000000000,-53.977096699999997,0.000000000000000,DJI_20260319094549_0280_D.JPG,2026-03-19T09:45:49-03:00,,34,1,0,77.78770992,78.82015130,1.03244139,3.38644409,32.27401253,9.53035445
281,491.810999999999979,"004",imp07,2026-03-19T12:46:11.584967,2.100000000000000,-18.368464990000000,9.699999999999999,-53.976797079999997,0.000000000000000,DJI_20260319094552_0281_D.JPG,2026-03-19T09:45:52-03:00,,34,1,0,77.83839511,78.83740841,0.99901330,3.19372988,32.46122117,10.16404719
282,491.528999999999996,"004",imp07,2026-03-19T12:46:14.806160,2.200000000000000,-18.368399310000001,9.699999999999999,-53.976500559999998,0.100000000000000,DJI_20260319094555_0282_D.JPG,2026-03-19T09:45:55-03:00,,34,1,0,77.51048026,78.84706333,1.33658307,3.22119308,32.16927747,9.98675854
283,491.197999999999979,"004",imp07,2026-03-19T12:46:18.031093,2.200000000000000,-18.368333960000001,9.600000000000000,-53.976204459999998,0.000000000000000,DJI_20260319094558_0283_D.JPG,2026-03-19T09:45:58-03:00,,34,1,0,77.55419692,78.83664009,1.28244317,3.22493291,32.11780627,9.95921688
284,490.875999999999976,"004",imp07,2026-03-19T12:46:21.217738,2.200000000000000,-18.368269630000000,9.699999999999999,-53.975910620000001,0.000000000000000,DJI_20260319094602_0284_D.JPG,2026-03-19T09:46:02-03:00,,34,1,0,77.65114361,78.83810725,1.18696364,3.18664503,31.85973378,9.99789229
